Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3DS,2011,26.98,18.42,12.8,4.38,62.53
3DS,2012,17.04,11.59,19.92,2.55,51.14
3DS,2013,15.33,14.34,23.52,2.67,55.88
3DS,2014,12.03,8.61,20.64,1.84,43.14
3DS,2015,5.82,4.77,15.39,0.99,26.99
3DS,2016,0.83,0.57,5.03,0.12,6.6
DC,2000,2.53,0.79,2.54,0.13,5.99
DC,2001,0.0,0.0,1.07,0.0,1.07
DC,2002,0.0,0.0,0.29,0.0,0.29
DC,2007,0.0,0.0,0.02,0.0,0.02
DC,2008,0.0,0.0,0.04,0.0,0.04
DS,2004,8.42,3.97,3.65,1.37,17.46
DS,2005,48.47,42.06,29.86,10.91,131.4
DS,2006,50.63,23.53,38.56,8.28,121.15
DS,2007,76.36,34.58,26.81,11.27,149.36
DS,2008,79.4,33.05,24.01,11.16,147.89
DS,2009,62.41,26.52,24.21,8.73,121.99
DS,2010,42.36,20.07,19.86,5.73,87.98
DS,2011,15.29,6.18,4.32,2.02,27.8
DS,2012,4.21,3.04,3.72,0.63,11.64
DS,2013,0.72,1.07,0.0,0.17,1.96
DS,2014,0.02,0.0,0.0,0.0,0.02
DS,2020,0.27,0.0,0.0,0.02,0.29
GB,2000,6.39,3.52,8.36,1.49,19.76
GB,2001,2.73,1.67,4.65,0.19,9.24
GBA,2000,0.05,0.02,0.0,0.0,0.06
GBA,2001,36.24,15.92,7.46,1.91,61.62
GBA,2002,43.02,17.12,12.21,1.81,74.38
GBA,2003,33.53,13.19,8.59,1.36,56.73
GBA,2004,44.43,18.15,13.52,1.81,78.09
GBA,2005,21.7,8.31,3.27,0.58,33.9
GBA,2006,2.7,0.98,1.51,0.09,5.35
GBA,2007,2.45,0.9,0.0,0.05,3.43
GC,2001,16.91,4.8,3.85,0.78,26.3
GC,2002,34.71,10.49,5.28,1.33,51.93
GC,2003,32.64,10.23,6.43,1.31,50.66
GC,2004,19.71,5.33,3.0,0.78,28.89
GC,2005,19.25,5.13,2.57,0.67,27.8
GC,2006,8.51,2.28,0.21,0.26,11.29
GC,2007,0.21,0.06,0.0,0.0,0.27
N64,2000,19.74,5.59,7.72,0.92,34.01
N64,2001,2.08,0.52,0.53,0.12,3.26
N64,2002,0.06,0.02,0.0,0.0,0.08
PC,2000,3.03,1.44,0.0,0.18,4.68
PC,2001,4.08,1.24,0.0,0.18,5.51
PC,2002,5.03,3.17,0.0,0.37,8.6
PC,2003,3.39,4.92,0.0,0.6,8.96
PC,2004,2.53,7.52,0.08,0.26,10.46
PC,2005,1.38,2.67,0.0,0.35,4.47
PC,2006,0.6,1.92,0.0,0.39,2.97
PC,2007,2.76,6.22,0.0,0.37,9.4
PC,2008,0.57,9.83,0.0,2.13,12.67
PC,2009,1.33,13.51,0.0,2.29,17.16
PC,2010,9.13,12.09,0.0,3.2,24.46
PC,2011,10.67,18.89,0.0,5.63,35.25
PC,2012,7.95,12.36,0.0,3.19,23.53
PC,2013,3.84,7.34,0.0,1.62,12.83
PC,2014,3.4,8.62,0.0,1.31,13.39
PC,2015,2.2,5.28,0.0,0.55,8.07
PC,2016,0.84,1.59,0.0,0.17,2.6
PS,2000,45.93,30.54,14.6,5.28,96.28
PS,2001,15.84,13.72,3.86,2.17,35.52
PS,2002,2.78,1.89,1.64,0.36,6.69
